Year,deaths,Number of Patients,mortality_rate,mortality_rate_per1k
2000,1334,2276,58.611599297012305,40.72039072039072
2001,1598,2811,56.848096762717894,41.931251639989505
2002,1783,3415,52.2108345534407,40.3850509626274
2003,1784,3703,48.17715365919525,37.93323410588986
2004,1836,4073,45.07733857107783,36.19160260201064
2005,1835,4434,41.384754172304916,33.76886271623113
2006,1755,4650,37.74193548387097,31.061946902654867
2007,1649,4858,33.94400988060931,28.14953909184022
2008,1487,4966,29.94361659283125,24.92457257794167
2009,1297,4980,26.04417670682731,21.68896321070234
2010,1096,4909,22.326339376655124,18.547977661194786
2011,892,4884,18.263718263718264,15.159755268524814
2012,681,4704,14.47704081632653,11.93899018232819
2013,421,4500,9.355555555555556,7.654545454545454
2014,153,3561,4.296545914069082,3.354527515895637
2000-2002,2109,3871,54.48204598295015,43.2970642578526
2002-2008,2767,6799,40.69716134725695,35.47890755225029
2008-2012,1465,6395,22.90852228303362,19.810682893847193
2012-2014,422,4575,9.224043715846994,7.5695067264574
