term,estimate,std.error,statistic,p.value
(Intercept),7.407656518896608,0.009926603480230082,746.2428144379663,0
as.factor(study_year)2001,-0.11623303290273551,0.01306221441631397,-8.898417159464708,5.680434645018611e-19
as.factor(study_year)2002,-0.1700930260353883,0.012431459678351138,-13.682466133208647,1.3120233453430866e-42
as.factor(study_year)2003,-0.2671824456694245,0.01207736453162373,-22.122578561723966,2.123608198654175e-108
as.factor(study_year)2004,-0.3299522637426271,0.01184777986009728,-27.849290553911246,1.4208631813457204e-170
as.factor(study_year)2005,-0.3978988977133512,0.011672883263868854,-34.087456262410335,2.0141205722509454e-254
as.factor(study_year)2006,-0.46917840556968143,0.011565136967441126,-40.56833973437071,0
as.factor(study_year)2007,-0.5319597137517896,0.011491573611756884,-46.29128539955123,0
as.factor(study_year)2008,-0.5370120152285099,0.011470059800420063,-46.81858896749982,0
as.factor(study_year)2009,-0.5490973005922424,0.011477049139548121,-47.84307306833241,0
as.factor(study_year)2010,-0.5392345243176919,0.011472526142619786,-47.002248468579744,0
as.factor(study_year)2011,-0.549345158075549,0.011498077505025536,-47.77713124958875,0
as.factor(study_year)2012,-0.5338476839559779,0.011548012247846963,-46.22853461689995,0
as.factor(study_year)2013,-0.5450678523298992,0.011693231263114813,-46.61396324634953,0
as.factor(study_year)2014,-0.614994604867493,0.016402754738363924,-37.493373197192305,2.7448720363994497e-307
