Years,Mean,SD,Mean_Male,SD_Male,Mean_Female,SD_Female
2000,2.39,1.5,2.44,1.55,2.35,1.45
2001,2.46,1.56,2.52,1.64,2.41,1.49
2002,2.49,1.59,2.55,1.65,2.44,1.52
2003,2.54,1.62,2.59,1.66,2.48,1.58
2004,2.59,1.65,2.69,1.68,2.5,1.62
2005,2.65,1.68,2.76,1.71,2.55,1.63
2006,2.88,1.82,2.97,1.86,2.8,1.78
2007,3.31,1.99,3.36,2.05,3.26,1.94
2008,3.46,2.06,3.51,2.12,3.42,2
2009,3.55,2.11,3.59,2.17,3.52,2.05
2010,3.64,2.13,3.69,2.19,3.6,2.08
2011,3.72,2.17,3.76,2.21,3.67,2.13
2012,3.79,2.23,3.84,2.27,3.74,2.19
2013,3.81,2.22,3.84,2.27,3.77,2.17
2014,3.81,2.21,3.84,2.24,3.79,2.18
2000-2002,2.46,1.56,2.51,1.62,2.41,1.49
2002-2008,2.94,1.86,3.01,1.9,2.87,1.82
2008-2012,3.67,2.16,3.72,2.21,3.63,2.11
2012-2014,3.81,2.22,3.84,2.26,3.78,2.17
