Year,Total_visits,Males,Females,Total.Visits.Per.Patent,Total.Visits.Per.Patent..Males.,Total.Visits.Per.Patent..Females.
2000,23815,10783,13032,2.359088657751362,2.2132594417077174,2.495117748420448
2001,31308,14053,17255,3.101337295690936,2.8844417077175697,3.3036569021635076
2002,36460,16795,19665,3.6116889549281823,3.4472495894909687,3.765077541642734
2003,41749,19168,22581,4.135611688954929,3.9343185550082103,4.3233773693279725
2004,47449,21918,25531,4.7002476473501735,4.498768472906404,4.888186865785947
2005,50381,23978,26403,4.990688459633482,4.921592775041051,5.0551407237219985
2006,54466,25003,29463,5.395344229816741,5.1319786535303775,5.641010913268237
2007,54227,25263,28964,5.371669143140168,5.185344827586207,5.545471950986023
2008,55054,25954,29100,5.453590886577514,5.327175697865353,5.571510626076967
2009,54960,25996,28964,5.444279346210996,5.335796387520525,5.545471950986023
2010,55126,26289,28837,5.460723130262506,5.395935960591133,5.521156423511392
2011,53896,25994,27902,5.338880633977216,5.335385878489327,5.342140532261152
2012,53811,25944,27867,5.330460624071322,5.325123152709359,5.33543940264216
2013,47177,22327,24850,4.673303615651313,4.582717569786535,4.75780202948497
2014,10596,4870,5726,1.04962852897474,0.9995894909688013,1.096304805667241
2000-2002,91583,41631,49952,9.07211490837048,8.544950738916256,9.56385219222669
2002-2008,303326,141284,162042,30.047152055473006,28.999178981937604,31.024698449167147
2008-2012,217793,104223,113570,21.574343734522042,21.392241379310345,21.744208309400726
2012-2014,57773,27197,30576,5.722932144626053,5.582307060755337,5.854106835152211
