Year,Metformin,Sulfonylurea,insulin,basal insulin,bolus insulin,premixed insulin,acarbose,nateglinide,repaglinide,pioglitazone,rosiglitazone,alogliptin,linagliptin,saxagliptin,sitagliptin,vildagliptin,exenatide,liraglutide,lixisenatide,canagliflozin,dapagliflozin,empagliflozin,others
2000,19.67,34.24,3.17,.83,.18,2.16,.83,.00,.25,.00,.15,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
2001,22.29,32.90,3.63,.74,.25,2.65,.62,.02,.30,.12,.79,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.02
2002,24.18,30.45,3.51,.69,.15,2.67,.72,.19,.27,.41,1.23,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.04
2003,26.24,28.96,3.85,.97,.16,2.72,.59,.20,.25,.79,1.65,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
2004,29.43,28.14,4.18,1.34,.14,2.69,.40,.11,.20,1.06,2.45,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
2005,31.96,26.74,4.36,1.51,.18,2.68,.28,.10,.21,1.10,3.81,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
2006,34.32,25.66,4.28,1.42,.20,2.66,.20,.08,.19,1.72,4.91,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
2007,35.90,25.27,4.03,1.33,.26,2.43,.22,.05,.13,2.61,4.67,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
2008,37.06,25.67,4.04,1.31,.31,2.41,.19,.04,.11,3.36,2.52,.00,.00,.00,.09,.00,.01,.00,.00,.00,.00,.00,.00
2009,38.22,24.69,4.17,1.43,.35,2.39,.17,.05,.15,3.61,1.50,.00,.00,.00,.56,.04,.02,.01,.00,.00,.00,.00,.00
2010,40.69,24.68,4.22,1.49,.40,2.33,.14,.06,.12,4.06,.81,.00,.00,.03,1.52,.28,.15,.10,.00,.00,.00,.00,.00
2011,42.16,24.28,4.18,1.61,.49,2.08,.12,.06,.11,4.36,.00,.00,.00,.21,2.14,.29,.11,.16,.00,.00,.00,.00,.00
2012,43.67,23.01,3.94,1.59,.47,1.89,.11,.05,.09,3.15,.00,.00,.28,.63,2.80,.27,.09,.13,.00,.00,.00,.00,.00
2013,44.57,22.51,3.81,1.54,.41,1.86,.07,.02,.13,2.93,.00,.00,.73,1.00,3.57,.40,.11,.16,.02,.00,.02,.00,.00
2014,41.96,21.09,3.54,1.43,.36,1.75,.07,.01,.20,2.31,.00,.00,1.08,1.15,3.46,.45,.08,.24,.03,.00,.06,.00,.00
2000-2002,22.37,32.26,3.46,.74,.19,2.53,.71,.09,.28,.21,.80,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.03
2002-2008,32.89,26.59,4.13,1.33,.21,2.59,.30,.09,.18,1.86,3.42,.00,.00,.00,.02,.00,.00,.00,.00,.00,.00,.00,.00
2008-2012,41.14,24.18,4.13,1.53,.43,2.18,.14,.05,.12,3.80,.59,.00,.07,.21,1.74,.22,.09,.10,.00,.00,.00,.00,.00
2012-2014,44.09,22.25,3.76,1.52,.40,1.84,.07,.02,.14,2.82,.00,.00,.79,1.03,3.55,.41,.10,.18,.02,.00,.03,.00,.00
