year_group,rate_1000_pop,standard.deviation,rate_1000_pop_Males,standard.deviation.Males,rate_1000_pop_Females,standard.deviation.Females
2000-2002,0.37,0.16,0.18,0.15,0.19,0.16
2002-2008,3.34,0.16,1.74,0.16,1.60,0.15
2008-2012,2.16,0.18,1.22,0.18,0.93,0.16
2012-2014,0.51,0.19,0.27,0.20,0.24,0.19
All Years,1.60,0.17,0.85,0.17,0.74,0.16
2000-2002,0.20,0.12,0.11,0.12,0.09,0.11
2002-2008,1.92,0.12,1.02,0.12,0.90,0.11
2008-2012,1.24,0.13,0.71,0.14,0.53,0.12
2012-2014,0.29,0.15,0.17,0.15,0.12,0.14
All Years,0.91,0.13,0.50,0.14,0.41,0.12
2000-2002,0.03,0.04,0.01,0.04,0.01,0.04
2002-2008,0.21,0.04,0.14,0.05,0.07,0.03
2008-2012,0.15,0.05,0.10,0.05,0.06,0.04
2012-2014,0.02,0.04,0.01,0.03,0.01,0.04
All Years,0.10,0.04,0.06,0.04,0.04,0.04
2000-2002,0.11,0.09,0.06,0.09,0.05,0.08
2002-2008,0.95,0.08,0.60,0.10,0.35,0.07
2008-2012,0.58,0.09,0.39,0.11,0.19,0.07
2012-2014,0.16,0.11,0.10,0.12,0.06,0.10
All Years,0.45,0.09,0.29,0.10,0.16,0.08
