study_year,male count,female count,male percentage,female percentage,total
2000,1035,1098,48.5%,51.5%,2133
2001,3552,3737,48.7%,51.3%,7289
2002,4309,4434,49.3%,50.7%,8743
2003,10444,10726,49.3%,50.7%,21170
2004,12216,13112,48.2%,51.8%,25328
2005,12662,13792,47.9%,52.1%,26454
2006,12334,13956,46.9%,53.1%,26290
2007,11314,12924,46.7%,53.3%,24238
2008,5866,6228,48.5%,51.5%,12094
2009,6862,6258,52.3%,47.7%,13120
2010,10666,10342,50.8%,49.2%,21008
2011,10194,10060,50.3%,49.7%,20254
2012,9424,9450,49.9%,50.1%,18874
2013,1383,1303,51.5%,48.5%,2686
2014,655,637,50.7%,49.3%,1292
2000-2002,8896,9269,49.0%,51.0%,18165
2002-2008,64836,70738,47.8%,52.2%,135574
2008-2012,37146,36110,50.7%,49.3%,73256
2012-2014,2038,1940,51.2%,48.8%,3978
