Year,deaths,Number of Patients,mortality_rate_per1k,mortality_rate
2000,188,368,13.742690058479532,51.08695652173913
2001,435,864,23.336909871244636,50.34722222222222
2002,681,1486,27.39340305711987,45.827725437415886
2003,463,1172,21.316758747697975,39.50511945392491
2004,620,1648,23.413897280966765,37.62135922330097
2005,571,1656,21.498493975903614,34.48067632850241
2006,502,1613,19.211634137007273,31.122132672039676
2007,413,1557,16.151740320688308,26.525369299935775
2008,345,1458,14.035801464605372,23.662551440329217
2009,180,816,9.911894273127754,22.058823529411764
2010,212,1225,9.52808988764045,17.30612244897959
2011,184,1304,7.986111111111111,14.11042944785276
2012,113,1215,5.10158013544018,9.300411522633745
2013,28,454,1.925722145804677,6.167400881057269
2014,15,474,1.01763907734057,3.1645569620253164
NA,0,1,0,0
2000-2002,690,1458,28.071602929210744,47.325102880658434
2002-2008,1281,3779,26.804770872567484,33.897856575813705
2008-2012,561,3000,14.025000000000002,18.7
2012-2014,99,1488,3.9790996784565915,6.653225806451612
NA,0,1,0,0
