term,estimate,std.error,statistic,p.value
(Intercept),7.567993366497586,0.039297008977533035,192.58446287411783,0
as.factor(study_year)2001,-0.3787402627754889,0.04378557646216234,-8.649886409575544,5.194676737819347e-18
as.factor(study_year)2002,-0.09387978113910679,0.04319422921454665,-2.173433415672356,0.02974895821657832
as.factor(study_year)2003,-0.43908074437463157,0.0406786820984257,-10.793878309829127,3.747540967289805e-27
as.factor(study_year)2004,-0.5882949130551164,0.04040776531937881,-14.55895688378939,5.4421703546196135e-48
as.factor(study_year)2005,-0.6930706251773846,0.04035954376039168,-17.172409809487366,4.801039284841638e-66
as.factor(study_year)2006,-0.7653578576480191,0.040374426380612,-18.956501088905817,4.638501651532821e-80
as.factor(study_year)2007,-0.8211463751540231,0.04043235763442521,-20.30913909543768,1.3401664162751113e-91
as.factor(study_year)2008,-0.7593637914031056,0.04171485425474685,-18.203678401122435,5.5896589637213426e-74
as.factor(study_year)2009,-0.637404358699729,0.04163510349146867,-15.309301652878986,7.1342969903121235e-53
as.factor(study_year)2010,-0.7633471472225606,0.04064518469427738,-18.780752331777094,1.2818764240637194e-78
as.factor(study_year)2011,-0.7915062511662566,0.040647952484395476,-19.472229295438964,2.2890904554219153e-84
as.factor(study_year)2012,-0.8052915709771948,0.0407324320458227,-19.770279615792823,6.584248490983904e-87
as.factor(study_year)2013,-0.5919565714688206,0.04849613167579951,-12.206263695960274,2.965555281451195e-34
as.factor(study_year)2014,-0.7994181185189794,0.05638571054400055,-14.177672158536584,1.3298661968770089e-45
