Years,Mean,SD,Mean_Male,SD_Male,Mean_Female,SD_Female
2000,2.1,1.36,2.22,1.55,1.99,1.15
2001,2.28,1.5,2.33,1.59,2.23,1.4
2002,2.24,1.53,2.21,1.47,2.27,1.59
2003,2.23,1.44,2.23,1.36,2.23,1.51
2004,2.28,1.46,2.43,1.48,2.14,1.42
2005,2.34,1.51,2.56,1.62,2.14,1.38
2006,2.5,1.66,2.65,1.73,2.36,1.59
2007,2.94,1.86,2.99,1.91,2.9,1.82
2008,3.08,1.93,3.09,2.01,3.07,1.86
2009,3.01,2,3.06,2.17,2.95,1.8
2010,3.07,1.96,3.21,2.13,2.93,1.75
2011,3.15,2.01,3.2,2.07,3.09,1.93
2012,3.17,2.11,3.14,2.15,3.19,2.06
2013,3.24,2.05,3.08,1.92,3.41,2.17
2014,3.35,2.11,3.18,2.06,3.53,2.14
NA,NA,NA,NA,NA,NA,NA
2000-2002,2.24,1.5,2.26,1.53,2.22,1.47
2002-2008,2.52,1.66,2.62,1.69,2.42,1.62
2008-2012,3.11,2.02,3.16,2.13,3.05,1.9
2012-2014,3.28,2.07,3.11,1.97,3.45,2.16
NA,NA,NA,NA,NA,NA,NA
