Year,Total_visits,Males,Females,Total.Visits.Per.Patent,Total.Visits.Per.Patent..Males.,Total.Visits.Per.Patent..Females.
2000,2832,1356,1476,0.3742566406766222,0.3658931462493254,0.38238341968911915
2001,8213,3828,4385,1.0853706885159244,1.0329195898542904,1.1360103626943006
2002,11454,5002,6452,1.513677811550152,1.349703184025904,1.6715025906735752
2003,23960,10112,13848,3.1663803356680322,2.7285483000539665,3.587564766839378
2004,28842,13114,15728,3.811550151975684,3.538586076632488,4.0746113989637305
2005,29256,13700,15556,3.8662613981762917,3.696708041014571,4.030051813471503
2006,28922,13092,15830,3.822122373463724,3.532649757150567,4.101036269430052
2007,26704,12344,14360,3.5290075327078103,3.3308148947652456,3.7202072538860103
2008,14708,7266,7442,1.943702920576186,1.960604425256341,1.927979274611399
2009,16092,8650,7442,2.126602352319281,2.3340528872099298,1.927979274611399
2010,22454,11912,10542,2.967358266155676,3.214247166756611,2.7310880829015542
2011,20922,10394,10528,2.7649002246597068,2.8046411225040475,2.727461139896373
2012,20588,10070,10518,2.720761199947139,2.7172153264975716,2.7248704663212435
2013,3400,1461,1939,0.44931941324170743,0.394225580140313,0.5023316062176166
2014,1534,593,941,0.20272234703317035,0.16001079330814894,0.2437823834196891
NA,0,NA,NA,0,NA,NA
2000-2002,22499,10186,12313,2.9733051407426987,2.7485159201295195,3.1898963730569947
2002-2008,152392,69628,82764,20.13902471256773,18.78791149487318,21.44145077720207
2008-2012,80056,41026,39030,10.579622043081802,11.07015650296816,10.11139896373057
2012-2014,4934,2054,2880,0.6520417602748778,0.554236373448462,0.7461139896373057
NA,0,NA,NA,0,NA,NA
