Year,Metformin,Sulfonylurea,insulin,basal insulin,bolus insulin,premixed insulin,acarbose,nateglinide,repaglinide,pioglitazone,rosiglitazone,alogliptin,linagliptin,saxagliptin,sitagliptin,vildagliptin,exenatide,liraglutide,lixisenatide,canagliflozin,dapagliflozin,empagliflozin,others
2000,9.23581809657759,18.9873417721519,0.5625879043600562,0.1875293014533521,0.14064697609001406,0.23441162681669012,0,0,0.32817627754336615,0,0.1875293014533521,0,0,0,0,0,0,0,0,0,0,0,0
2001,13.376320482919468,19.316778707641653,0.27438606118809167,0.09603512141583208,0.05487721223761833,0.12347372753464124,0,0.0823158183564275,0.06859651529702292,0.09603512141583208,0.6173686376732062,0,0,0,0,0,0,0,0,0,0,0,0
2002,13.03900263067597,14.80041175797781,0.7663273475923595,0.13725265927027336,0,0.6290746883220862,0,0.33169392656982727,0,0.7663273475923595,0.4003202562049639,0,0,0,0,0,0,0,0,0,0,0,0
2003,18.39395370807747,14.492205951818612,0.8880491261218706,0.17005196032120926,0,0.7179971658006613,0.17005196032120926,0.16060462919225318,0,0.7746811525743977,0.406235238545111,0,0,0,0,0,0,0,0,0,0,0,0
2004,22.323120656980418,12.965887555274794,1.089703095388503,0.2605811749842072,0.047378395451674035,0.7817435249526217,0,0.007896399241945672,0.07896399241945673,0.410612760581175,1.35028427037271,0,0,0,0,0,0,0,0,0,0,0,0
2005,24.026612232554623,12.134270809707417,0.9828381341196039,0.34777349361155213,0.015120586678763134,0.6199440538292885,0,0,0.03780146669690784,0.34777349361155213,1.6103424812882738,0,0,0,0,0,0,0,0,0,0,0,0
2006,24.830734119437047,10.597185241536707,0.7455306200076075,0.2814758463294028,0.007607455306200076,0.4564473183720046,0.045644731837200456,0,0,1.103081019399011,1.2628375808292127,0,0,0,0,0,0,0,0,0,0,0,0
2007,26.98242429243337,10.858981764171961,0.7838930604835382,0.2722996946942817,0.09901807079792063,0.4125752949913359,0.11552108259757406,0,0.01650301179965344,1.0479412492779931,0.9076656489809389,0,0,0,0,0,0,0,0,0,0,0,0
2008,26.343641475111625,11.14602282123367,0.44650239788324786,0.165371258475277,0.0330742516950554,0.2480568877129155,0.0165371258475277,0,0,0.8599305440714404,0.1819083843228047,0,0,0,0.0330742516950554,0,0,0,0,0,0,0,0
2009,26.158536585365855,8.003048780487806,1.1128048780487805,0.39634146341463417,0.1371951219512195,0.5792682926829268,0,0,0,0.6402439024390244,0.03048780487804878,0,0,0,0.01524390243902439,0.06097560975609756,0,0,0,0,0,0,0
2010,28.60814927646611,7.892231530845392,1.3613861386138615,0.46648895658796646,0.3141660319878141,0.5807311500380807,0,0.02856054836252856,0,1.0662604722010662,0.02856054836252856,0,0,0.02856054836252856,0.29512566641279514,0.15232292460015232,0,0,0,0,0,0,0
2011,29.92989039202133,8.087291399229782,0.918337118593858,0.20736644613409697,0.24686481682630593,0.46410585563345513,0,0.059247556038313415,0,1.175076528093216,0,0,0,0.03949837069220895,0.48385504097955956,0.019749185346104474,0,0,0,0,0,0,0
2012,34.502490198156195,9.367383702447812,0.9007099713892127,0.30730104906220196,0.25431810956871886,0.33909081275829184,0,0.01059658789869662,0,0.6040055102257074,0,0,0.04238635159478648,0.01059658789869662,1.9497721733601778,0,0,0.01059658789869662,0,0,0,0,0
2013,27.066269545793,8.339538346984364,0.7073715562174236,0.5956813104988831,0.03723008190618019,0.07446016381236038,0,0,0,0.07446016381236038,0,0,0.5584512285927029,0.07446016381236038,2.494415487714073,0,0,0.07446016381236038,0,0,0.14892032762472077,0,0
2014,27.39938080495356,7.352941176470589,0.8513931888544891,0.696594427244582,0,0.15479876160990713,0,0,0,0.15479876160990713,0,0,0.38699690402476783,0,1.8575851393188854,0.15479876160990713,0,0,0,0,0.23219814241486067,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-2002,12.727773190200937,17.10432149738508,0.5450041288191577,0.126617120836774,0.03853564547206166,0.37985136251032203,0,0.1926782273603083,0.06606110652353427,0.4073768235617946,0.46242774566473993,0,0,0,0,0,0,0,0,0,0,0,0
2002-2008,23.719887294023927,12.043607181317952,0.8585717025388349,0.26111201262779,0.03392980955050378,0.5635298803605411,0.057533155324767285,0.026553763996046437,0.025078554885154973,0.7435053918893003,1.0532993051765087,0,0,0,0.0029504182217829377,0,0,0,0,0,0,0,0
2008-2012,30.053510975210223,8.346074041716719,1.0756798077973135,0.3412689745549853,0.24844381347602926,0.485967019766299,0,0.027301517964398822,0,0.9009500928251611,0.013650758982199411,0,0.010920607185759528,0.021841214371519056,0.7234902260565688,0.06006333952167741,0,0.002730151796439882,0,0,0,0,0
2012-2014,27.174459527400703,8.019105077928607,0.7541478129713424,0.628456510809452,0.025138260432378077,0.10055304172951231,0,0,0,0.10055304172951231,0,0,0.5027652086475616,0.050276520864756154,2.287581699346405,0.050276520864756154,0,0.050276520864756154,0,0,0.17596782302664657,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
